NHL_player_ID, player,season,timeOnIce,ot,shutouts,wins,ties,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,games,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
8471306,Thomas Greiss,20142015,1159:22,3,0,9,NA,6,496,109,12,375,14,412,120,0.908,2.5876,20,18,546,50,90.83333333333333,85.71428571428571,91.01941747572816,
8471306,Thomas Greiss,20152016,2287:28,4,1,23,NA,11,1107,154,21,932,24,999,174,0.925,2.3607,41,38,1197,90,88.50574712643679,87.5,93.29329329329329,
8471306,Thomas Greiss,20162017,2813:17,5,3,26,NA,18,1327,153,29,1145,34,1245,174,0.913,2.6872,51,49,1453,126,87.93103448275862,85.29411764705883,91.96787148594377,
8471306,Thomas Greiss,20172018,1491:45,2,1,13,0,8,784,99,22,663,25,735,119,0.892,3.82,27,25,879,95,83.19327731092437,88.0,90.20408163265307,
8471306,Thomas Greiss,20182019,2293:42,2,5,23,0,14,1098,145,31,922,32,984,169,0.927,2.28,43,39,1185,87,85.79881656804734,96.875,93.69918699186992,
8471403,Karri Ramo,20062007,69:31,0,0,0,NA,0,19,3,1,15,1,19,3,0.826,3.4524,2,0,23,4,100.0,100.0,78.94736842105263,
8471403,Karri Ramo,20072008,1268:43,3,0,7,NA,11,568,75,10,483,12,531,89,0.899,3.0267,22,20,632,64,84.26966292134831,83.33333333333334,90.96045197740112,
8471403,Karri Ramo,20082009,1311:54,7,0,4,NA,10,676,151,22,503,23,555,178,0.894,3.6588,24,20,756,80,84.8314606741573,95.65217391304348,90.63063063063062,
8471403,Karri Ramo,20132014,2193:46,4,2,17,NA,15,994,136,19,839,22,913,156,0.911,2.653,40,37,1091,97,87.17948717948718,86.36363636363636,91.894852135816,
8471403,Karri Ramo,20142015,1731:47,3,2,15,NA,9,777,85,15,677,17,739,96,0.912,2.5985,34,32,852,75,88.54166666666666,88.23529411764706,91.61028416779432,
8471403,Karri Ramo,20152016,2144:38,1,1,17,NA,18,940,104,20,816,23,890,121,0.909,2.6298,37,37,1034,94,85.9504132231405,86.95652173913044,91.68539325842696,
8471418,Anton Khudobin,20092010,69:27,0,0,2,NA,0,47,12,2,33,2,34,12,0.979,0.8639,2,1,48,1,100.0,100.0,97.05882352941177,
8471418,Anton Khudobin,20102011,188:44,0,1,2,NA,1,81,15,4,62,4,65,17,0.942,1.5895,4,3,86,5,88.23529411764706,100.0,95.38461538461539,
8471418,Anton Khudobin,20112012,60:00,0,0,1,NA,0,44,9,2,33,2,34,9,0.978,1.0,1,1,45,1,100.0,100.0,97.05882352941177,
8471418,Anton Khudobin,20122013,803:00,1,1,9,NA,4,357,62,10,285,11,311,66,0.92,2.3163,14,14,388,31,93.93939393939394,90.9090909090909,91.63987138263666,
8471418,Anton Khudobin,20132014,2084:18,1,1,19,NA,14,996,103,23,870,29,931,116,0.926,2.3029,36,34,1076,80,88.79310344827587,79.3103448275862,93.44790547798067,
8471418,Anton Khudobin,20142015,1920:21,6,1,8,NA,17,787,89,11,687,12,762,100,0.9,2.7183,34,32,874,87,89.0,91.66666666666666,90.15748031496062,
8471418,Anton Khudobin,20152016,356:20,0,1,3,NA,3,159,34,2,123,2,137,36,0.909,2.6941,9,7,175,16,94.44444444444444,100.0,89.78102189781022,
8471418,Anton Khudobin,20162017,884:47,1,0,7,NA,6,366,56,10,300,13,331,61,0.904,2.6447,16,14,405,39,91.80327868852459,76.92307692307693,90.6344410876133,
8471418,Anton Khudobin,20172018,1780:43,7,1,16,0,6,800,128,40,632,43,689,144,0.913,2.56,31,29,876,76,88.88888888888889,93.02325581395348,91.72714078374456,
8471418,Anton Khudobin,20182019,2219:30,5,2,16,0,17,1137,163,31,943,32,1014,186,0.923,2.57,41,37,1232,95,87.63440860215054,96.875,92.99802761341223,
8471433,Daniel Taylor,20072008,20:00,0,0,0,NA,0,8,0,0,8,0,10,0,0.8,6.0,1,0,10,2,NA,NA,80.0,
8471433,Daniel Taylor,20122013,120:00,0,0,1,NA,1,62,4,2,56,2,62,4,0.912,3.0,2,2,68,6,100.0,100.0,90.32258064516128,
8471433,Daniel Taylor,20172018,58:29,0,0,0,0,1,30,2,0,28,0,31,3,0.882,4.14,1,1,34,4,66.66666666666666,NA,90.32258064516128,
8471444,Martin Houle,20062007,02:12,0,0,0,NA,0,2,0,0,2,0,3,0,0.667,27.2727,1,0,3,1,NA,NA,66.66666666666666,
8471469,Pekka Rinne,20052006,63:08,0,0,1,NA,1,36,11,4,21,5,24,11,0.9,3.8015,2,1,40,4,100.0,80.0,87.5,
8471469,Pekka Rinne,20072008,29:24,0,0,0,NA,0,8,0,0,8,0,8,0,1.0,0.0,1,0,8,0,NA,NA,100.0,
8471469,Pekka Rinne,20082009,2999:12,4,7,29,NA,15,1316,163,37,1116,42,1205,188,0.917,2.3806,52,49,1435,119,86.70212765957447,88.09523809523809,92.61410788381743,
8471469,Pekka Rinne,20092010,3245:41,5,7,32,NA,16,1404,193,31,1180,35,1275,231,0.911,2.5326,58,54,1541,137,83.54978354978356,88.57142857142857,92.54901960784314,
8471469,Pekka Rinne,20102011,3789:15,9,6,33,NA,22,1771,270,30,1471,31,1578,296,0.93,2.1218,64,64,1905,134,91.21621621621621,96.7741935483871,93.2192648922687,
8471469,Pekka Rinne,20112012,4168:52,8,5,43,NA,18,1987,253,34,1700,37,1831,285,0.923,2.3891,73,72,2153,166,88.7719298245614,91.8918918918919,92.84543965046423,
8471469,Pekka Rinne,20122013,2443:46,8,5,15,NA,16,1002,121,12,869,16,937,148,0.91,2.4307,43,42,1101,99,81.75675675675676,75.0,92.7427961579509,
8471469,Pekka Rinne,20132014,1366:49,3,2,10,NA,10,582,81,11,490,11,544,90,0.902,2.7655,24,24,645,63,90.0,100.0,90.07352941176471,
8471469,Pekka Rinne,20142015,3850:47,6,4,41,NA,17,1667,200,39,1428,43,1532,232,0.923,2.1814,64,64,1807,140,86.20689655172413,90.69767441860465,93.21148825065274,
8471469,Pekka Rinne,20152016,3895:22,10,4,34,NA,21,1583,225,36,1322,37,1443,264,0.908,2.4799,66,66,1744,161,85.22727272727273,97.2972972972973,91.61469161469161,
8471469,Pekka Rinne,20162017,3567:47,9,3,31,NA,19,1613,221,36,1356,40,1462,255,0.918,2.4217,61,61,1757,144,86.66666666666667,90.0,92.74965800273598,
8471469,Pekka Rinne,20172018,3475:27,4,8,42,0,13,1706,262,55,1389,58,1480,302,0.927,2.31,59,59,1840,134,86.75496688741721,94.82758620689656,93.85135135135135,
